,4,5
1981.0,0.03969011746150797,0.049617245079460526
1982.0,0.0686067910623962,0.12511857162454998
1983.0,0.006356784128174642,0.03866392417503217
1984.0,0.4880645132063681,0.054982155530587606
1985.0,0.1258302628309398,0.15727334224432854
1986.0,0.061426129798229034,0.02630601596150417
1987.0,0.3786354474624236,0.036099611435417955
1988.0,0.15360540025201808,1.138237038701544
1989.0,0.010776470491441814,0.0008213979378192127
1990.0,0.023394962987953627,0.026895351588336336
1991.0,0.08690103796549031,0.05977003655389246
1992.0,0.0036080141465383297,0.005142354889790202
1993.0,0.20232487871573013,0.015704533300453627
1994.0,0.10574371207887434,0.30976244962738986
1995.0,0.03393698167763248,0.008557032994480185
1996.0,0.25856611765944626,0.015006912059247646
1997.0,0.09659365298360445,0.15795166082302647
1998.0,0.01329784083631902,0.007616425630868173
1999.0,0.013029823751782521,0.04096552839043521
2000.0,0.1523654995211554,0.10584536888715934
2001.0,0.04777781212745946,0.08782000444567872
2002.0,0.1769936321261466,0.20767923823409962
2003.0,0.04369613976175257,0.024134561905952423
2004.0,0.06121213061068731,0.12531786189889982
2005.0,0.21444399228913746,0.0063413576400108695
2006.0,0.07278739086035935,0.08214166518345567
2007.0,0.03879527097137614,0.015853842776752836
2008.0,0.016681095800453627,0.038049978024822684
2009.0,0.06658383660243461,0.395147198600166
2010.0,0.053648173145342315,0.2603444249173944
2011.0,0.5638984770458597,0.15326321774207763
2012.0,0.04714324941735226,0.06365663848636371
2013.0,0.3286902958917326,0.08703136456379246
2014.0,0.2483396750005713,0.04416134063233734
2015.0,0.17102980022512182,0.04549022117146151
2016.0,0.07940392147183395,0.11716457229708688
2017.0,0.047685351690980426,0.7351535670954685
2018.0,0.028046154928426104,0.027486550982806057
2019.0,0.023469103783540723,0.0006256031747060575
2020.0,0.37267384217625077,0.3291489163147293
2021.0,0.11398439442905128,0.054416195880112816
2022.0,0.015704533300453627,0.0472424360866639
